unit_id,cluster_id,speaker,time,korean_text,english_text,model_active_value,model_stance,model_strength,top_signed_support,top_signed_constraint,human_supported_values,human_constrained_values,segmentation_quality,review_notes
row084_claim03,2,조국혁신당,44:51,4년 전 지방선거를 앞두고 윤호중 당시 민주당 공동 비대위원장께서도 정치 개혁에 나서겠다며 기득권 정치 구조를 타파하고 다당제를 실현하겠다고 하셨습니다.,"Four years ago, ahead of the local elections, then-Democratic Party co-acting chair Yoon Ho-jung also said that he would take on political reform, break down the entrenched political structure, and realize a multi-party system.",Stimulation,support,0.833,Stimulation:0.833; Self-direction: action:0.126; Self-direction: thought:0.037; Conformity: rules:0.017; Security: societal:0.013,Humility:-0.000; Security: personal:-0.001; Benevolence: dependability:-0.001; Face:-0.001; Universalism: nature:-0.001,,,,
row075_claim05,2,정의당,38:17,읍면동의 자치가 완전히 그때 폐지가 됐습니다. 그러니까 실제 주민자치는 결국 읍면동에서의 자기결정권을 행사할 수 있도록 이 자치권을 어떻게 회복할 거냐 하는 문제까지를 제대로 고민해 봐야 된다고 생각합니다.,"The autonomy of eup, myeon, and dong was completely abolished at that time. So I think we need to properly consider, all the way to the issue of how to restore this autonomy so that in practice resident self-government can exercise self-determination rights at the eup, myeon, and dong level.",Self-direction: action,support,0.783,Self-direction: action:0.783; Universalism: concern:0.120; Tradition:0.030; Self-direction: thought:0.029; Conformity: rules:0.028,Face:-0.000; Humility:-0.001; Hedonism:-0.001; Universalism: nature:-0.001; Power: resources:-0.002,,,,
row067_claim01,2,정의당,33:33,예 제가 아까 그 답변을 할 때 실제 이제 이 행정통합이라고 하는 게 지역만 규모를 키우는 문제가 아니라 그 내부에 있는 여러 가지 조건들이 성숙되어야 된다라는 말씀을 드리면서 마지막으로 실제 이 지방분권과 지역 균형 발전이라고 하는 것은 지역 주민들이 자치와 분권 그리고 지역 민주주의를 살리기 위한 것으로 진행돼야 된다고 말씀을 드렸거든요.,"Yes, when I gave that answer earlier, I said that this administrative integration is not simply a matter of enlarging the size of the region, but that the various conditions inside it must mature, and finally I said that this decentralization and balanced regional development should be carried out for the purpose of reviving local residents’ autonomy, decentralization, and regional democracy.",Self-direction: action,support,0.748,Self-direction: action:0.748; Universalism: concern:0.259; Self-direction: thought:0.228; Stimulation:0.029; Tradition:0.029,Face:-0.001; Hedonism:-0.001; Achievement:-0.001; Humility:-0.002; Power: resources:-0.002,,,,
row067_claim03,3,정의당,33:33,그런데 이것 없이 중앙에서 결정된 내용을 가지고 일방적으로 밀어붙이기 식으로 진행되고 있는 것은 실제 지방자치라든가 지방자치권을 오히려 훼손하고 있는 절차라고 저희들은 매우 강하게 비판한 바가 있습니다.,"However, we have very strongly criticized that proceeding in a way that unilaterally pushes through the contents decided at the center without this is a process that actually damages local autonomy, or rather the right to local self-government.",Self-direction: action,constraint,0.466,Face:-0.000; Humility:-0.000; Hedonism:-0.000; Benevolence: caring:-0.001; Power: resources:-0.001,Self-direction: action:0.466; Power: dominance:0.054; Security: societal:0.034; Self-direction: thought:0.016; Conformity: rules:0.013,,,,
row032_claim04,3,정의당,14:48,이는 충분히 수기 없이 중앙에서 졸속적으로 추진해서 발생하고 있는 문제라고 생각하는데 어떻게 생각하십니까?,I think this is a problem that is sufficiently occurring because it is being pushed ahead hastily at the center without manual input; what do you think?,Self-direction: action,constraint,0.414,Power: dominance:0.000; Universalism: tolerance:-0.000; Power: resources:-0.000; Face:-0.000; Universalism: nature:-0.000,Self-direction: action:0.414; Benevolence: dependability:0.030; Self-direction: thought:0.016; Achievement:0.014; Stimulation:0.012,,,,
row008_claim02,4,민주당,03:33,"이재명 정부는 합니다. 출범 7개월 만에 코스피 5천 원 시대를 열었고, 그 실력 그대로 지방 주도 성장을 완성해 나가겠습니다.","The Lee Jae-myung administration does it. Within seven months of launching, it opened the era of a KOSPI 5,000 won, and with that same capability, it will complete region-led growth.",Achievement,support,0.965,Achievement:0.965; Power: resources:0.025; Self-direction: action:0.010; Stimulation:0.005; Power: dominance:0.004,Conformity: interpersonal:-0.000; Security: personal:-0.000; Security: societal:-0.000; Universalism: concern:-0.000; Conformity: rules:-0.000,,,,
row004_claim11,4,정의당,00:50,"노동권과 환경권, 의료, 공공성 같은 국민의 기본권은 전국 어디서나 차별 없이 균등하게 보장되어야 합니다.","Basic rights of the people, such as labor rights, environmental rights, healthcare, and the public character of services, must be equally guaranteed without discrimination anywhere in the country.",Universalism: concern,support,0.964,Universalism: concern:0.964; Benevolence: caring:0.016; Security: personal:0.006; Conformity: rules:0.006; Universalism: tolerance:0.004,Hedonism:-0.000; Humility:-0.000; Face:-0.000; Conformity: interpersonal:-0.000; Tradition:-0.000,,,,
row073_claim05,4,개혁신당,36:54,또한 6대 거점 도시에 집중적으로 투자를 하겠다는 거죠.,"In addition, it means that they will invest intensively in the six major hub cities.",Power: resources,support,0.96,Power: resources:0.960; Self-direction: action:0.026; Power: dominance:0.011; Achievement:0.005; Self-direction: thought:0.003,Tradition:-0.000; Hedonism:-0.000; Universalism: tolerance:-0.000; Humility:-0.001; Universalism: concern:-0.001,,,,
row007_claim04,4,민주당,02:25,변화는 이미 시작되었습니다. 말만 있던 어 해수부의 부산 이전을 지난해 이미 완료했습니다.,"The change has already begun. We already completed the relocation of the Ministry of Oceans and Fisheries to Busan last year, which had only been talked about.",Stimulation,support,0.936,Stimulation:0.936; Universalism: nature:0.024; Hedonism:0.012; Power: resources:0.009; Security: societal:0.009,Security: personal:-0.001; Benevolence: dependability:-0.001; Universalism: tolerance:-0.001; Conformity: interpersonal:-0.001; Tradition:-0.001,,,,
row008_claim03,4,민주당,03:33,전국 어디서나 다 잘 살 수 있는 민주당과 이재명 정부가 책임지고 해 나가겠습니다.,The Democratic Party and the Lee Jae-myung government will take responsibility and carry this out so that people can live well anywhere in the country.,Universalism: concern,support,0.929,Universalism: concern:0.929; Security: societal:0.153; Power: dominance:0.076; Conformity: rules:0.033; Benevolence: dependability:0.025,Universalism: nature:-0.000; Hedonism:-0.000; Humility:-0.001; Tradition:-0.001; Stimulation:-0.001,,,,
row063_claim02,5,조국혁신당,31:21,어 행정수도 사법 수도 가장 강한 가장 힘센 기관들이 지방에 가야 제대로 된 균형 발전이 이루어지기 때문에 그렇습니다.,Administrative capital and judicial capital: because the strongest and most powerful institutions must go to the provinces for proper balanced development to be achieved.,Power: dominance,support,0.932,Power: dominance:0.932; Conformity: rules:0.249; Universalism: concern:0.068; Face:0.025; Conformity: interpersonal:0.013,Hedonism:-0.000; Benevolence: caring:-0.000; Universalism: nature:-0.001; Stimulation:-0.001; Humility:-0.001,,,,
row091_claim04,5,조국혁신당,49:47,대법원 대구 이전 법원 2004년도에 신행정수도법 위헌 결정이 났을 때도 헌법재판소는 사법 기관의 소재지는 입법 정책적으로 결정할 수 있다 헌법 위반 논란이 없다라는 취지로 분명히 결정을 한 바 있습니다.,"When the Supreme Court was relocated to Daegu, even when the Constitutional Court made its 2004 unconstitutional ruling on the New Administrative Capital Act, it clearly held to the effect that the location of judicial institutions can be determined as a matter of legislative policy and that there is no issue of constitutional violation.",Conformity: rules,support,0.887,Conformity: rules:0.887; Power: dominance:0.038; Universalism: concern:0.007; Self-direction: action:0.005; Power: resources:0.002,Humility:-0.000; Hedonism:-0.000; Face:-0.000; Security: personal:-0.000; Universalism: tolerance:-0.000,,,,
row055_claim01,5,개혁신당,26:28,어 이 쟁점과 관련돼서는 사실은 두 가지 큰 쟁점 아까 말씀드린 것처럼 어 절차적 정당성이 있는가 그리고 그것이 실질적으로 또 정당한가 두 가지 관점에서 바라봐야 됩니다.,"Regarding this issue, in fact, as I mentioned earlier, there are two major points of contention: whether there is procedural legitimacy, and whether it is substantively legitimate as well. It has to be viewed from these two perspectives.",Conformity: rules,support,0.887,Conformity: rules:0.887; Universalism: concern:0.050; Self-direction: thought:0.008; Conformity: interpersonal:0.006; Power: dominance:0.005,Humility:-0.000; Hedonism:-0.000; Face:-0.001; Universalism: nature:-0.001; Power: resources:-0.001,,,,
row046_claim05,5,민주당,21:58,더 나아가서 좀 여쭤보겠습니다. 결국 이 문제와 관련되어서는 법도 중요하지만 헌법적 차원에서 이 문제를 어떻게 보장할 것인가도 저는 중요하다고 생각합니다.,"Furthermore, I would like to ask a bit more. Ultimately, with respect to this issue, I think it is important not only to have the law, but also to consider how this issue will be guaranteed at the constitutional level.",Conformity: rules,support,0.83,Conformity: rules:0.830; Universalism: concern:0.097; Self-direction: thought:0.039; Benevolence: caring:0.010; Stimulation:0.010,Humility:-0.000; Hedonism:-0.000; Universalism: nature:-0.000; Achievement:-0.000; Face:-0.000,,,,
row032_claim01,5,정의당,14:48,그 역시 전남 광주통합특별법은 통합 시장 특별시장 승인 하나만 받으면 원래 따로따로 심사 받아야 할 41개 법에 규정된 수많은 인허가를 한꺼번에 심사를 받은 것으로 간주해 버리는 조항이 있습니다.,"It also has a provision in the Jeonnam Gwangju Integrated Special Act that, if you obtain only the special mayor’s approval, all of the numerous permits and approvals stipulated in 41 laws that would otherwise have to be reviewed separately are deemed to have been reviewed all at once.",Conformity: rules,support,0.813,Conformity: rules:0.813; Power: dominance:0.001; Self-direction: action:0.001; Universalism: concern:0.001; Universalism: nature:0.001,Humility:-0.000; Hedonism:-0.000; Face:-0.000; Benevolence: dependability:-0.000; Universalism: tolerance:-0.000,,,,
row004_claim04,4,정의당,00:50,지방을 살리기 위해서는 다음의 조건이 필수적입니다.,"To revitalize local regions, the following conditions are essential.",Stimulation,support,0.766,Stimulation:0.766; Self-direction: action:0.069; Security: societal:0.057; Self-direction: thought:0.023; Benevolence: caring:0.017,Face:-0.000; Humility:-0.000; Security: personal:-0.000; Power: dominance:-0.000; Universalism: tolerance:-0.001,,,,
row016_claim01,4,조국혁신당,07:06,주거 혁신의 제7공화국 비전에는 지역 균형 발전이 포함돼 있습니다.,The vision of the 7th Republic for housing innovation includes balanced regional development.,Stimulation,support,0.928,Stimulation:0.928; Universalism: concern:0.029; Security: societal:0.027; Self-direction: thought:0.018; Self-direction: action:0.013,Security: personal:-0.000; Conformity: interpersonal:-0.000; Face:-0.001; Humility:-0.001; Conformity: rules:-0.001,,,,
row038_claim01,4,정의당,17:32,네 마지막으로 그 임종덕 의원께 묻겠습니다. 실제,"Lastly, I will ask Assemblyman Lim Jong-deok. In fact,",,,0.0,Self-direction: action:0.005; Self-direction: thought:0.001; Conformity: rules:0.000; Stimulation:0.000; Universalism: concern:0.000,Hedonism:-0.000; Humility:-0.000; Tradition:-0.000; Universalism: tolerance:-0.000; Security: personal:-0.000,,,,
row044_claim03,4,민주당,20:31,그런 가운데서 다 모든 것을 완벽하게 만들자고 논의하는 것 과연 이것이 한가한 일 아니겠습니까?,"In the midst of all that, is discussing whether to make everything perfect really not a leisurely matter?",Hedonism,constraint,0.296,Power: dominance:0.000; Achievement:-0.000; Power: resources:-0.000; Universalism: concern:-0.000; Face:-0.001,Hedonism:0.296; Stimulation:0.026; Humility:0.008; Conformity: interpersonal:0.008; Self-direction: thought:0.006,,,,
row052_claim02,4,개혁신당,25:36,그리고 주민들이 지금 대부분 그 내용에 대해서 알지 못하고 있는 부분도 굉장히 많고 통합이라고 하게 되면 실질적으로 그 통합 이후에 어떻게 국민들과 그 시민들에게 영향을 미칠 것인가를 세밀하게 계획을 해야 되는데 그런 부분이 없이 너무 정치적으로 이루어졌다는 점을 비판하고 있습니다.,"And there are also a lot of parts where residents currently do not know most of that content, and if you call it integration, you need to carefully plan how that integration will actually affect the people and those citizens afterward, but I am criticizing the fact that it was carried out too politically without such parts.",,,0.0,Self-direction: action:0.049; Self-direction: thought:0.048; Benevolence: caring:0.002; Power: dominance:0.000; Face:-0.000,Universalism: concern:0.064; Security: societal:0.043; Universalism: tolerance:0.041; Conformity: interpersonal:0.016; Stimulation:0.004,,,,
row057_claim01,4,개혁신당,28:26,"아까 이제 모두 발언하실 때 20조를 중앙 정부에서 집중 지원하겠다 이렇게 말씀을 하셨습니다.
이것은 결국 지방자치단체가 지방자치가 결국은 중앙에 더욱 의존하도록 만드는 것이 아니냐 그 20조를 지원받은 다음에 그 20조가 끝나면 또 어떻게 합니까?
그러니까 이런 부분에 대해서는 어떻게 생각하시는지 답변 바랍니다.","Earlier, when everyone was making their opening remarks, you said that the 2 trillion won would be intensively supported by the central government.  
Isn’t this, in the end, making local governments become even more dependent on the central government? After receiving that 2 trillion won, what happens when that 2 trillion won runs out?  
So please answer how you think about these points.",,,0.0,Power: resources:0.041; Benevolence: caring:0.002; Power: dominance:0.001; Self-direction: thought:0.001; Self-direction: action:0.001,Security: societal:0.070; Benevolence: dependability:0.032; Security: personal:0.002; Conformity: interpersonal:0.002; Universalism: nature:0.001,,,,
row030_claim04,4,정의당,13:43,그리고 결선투표제 계속 이야기하고 있는데 광역단체장에 대해서 왜 도입하지 않는지 일단 생각을 묻겠습니다.,"And we keep talking about the runoff voting system, but first I’d like to ask why it is not being introduced for metropolitan local government heads.",,,0.0,Self-direction: action:0.000; Self-direction: thought:0.000; Stimulation:0.000; Benevolence: caring:0.000; Power: dominance:0.000,Conformity: rules:0.000; Universalism: concern:0.000; Achievement:0.000; Security: societal:0.000; Conformity: interpersonal:0.000,,,,
row062_claim05,4,개혁신당,30:18,다시 얘기하면 공공기관 153개를 지방에 내려보냈는데 수도권 집중은 오히려 더 집중화됐다는 거거든요.,"In other words, even though 153 public institutions were relocated to the provinces, concentration in the Seoul metropolitan area has actually become even more concentrated.",,,0.0,Power: dominance:0.109; Power: resources:0.045; Achievement:0.018; Universalism: nature:0.001; Conformity: rules:0.001,Universalism: concern:0.000; Benevolence: caring:-0.000; Security: personal:-0.000; Hedonism:-0.000; Universalism: tolerance:-0.000,,,,
row047_claim02,4,민주당,23:00,개헌에 대한 국민의힘의 입장은 무엇입니까?,What is the People Power Party’s position on constitutional amendment?,,,0.0,Self-direction: thought:0.002; Self-direction: action:0.002; Stimulation:0.000; Power: resources:0.000; Universalism: nature:0.000,Security: personal:-0.000; Achievement:-0.000; Hedonism:-0.000; Face:-0.000; Benevolence: caring:-0.000,,,,
row100_claim01,4,개혁신당,53:20,어 강남을 죽인다고 강북이 사는 것이 아니고 서울을 죽인다고 지방이 사는 것이 아닙니다.,"Killing Gangnam does not mean Gangbuk will live, and killing Seoul does not mean the provinces will live.",,,0.0,Benevolence: caring:0.014; Universalism: concern:0.002; Self-direction: thought:0.002; Power: dominance:0.001; Self-direction: action:0.000,Security: personal:0.065; Security: societal:0.019; Face:0.002; Conformity: interpersonal:0.002; Benevolence: dependability:0.001,,,,
row070_claim01,4,국민의힘,35:05,행정통합은 행정 재정 규제 권한을 실질적으로 지방에 배분하는 것이 전제되어야 합니다.,"Administrative integration must be premised on the substantive devolution of administrative, fiscal, and regulatory authority to the local level.",,,0.0,Conformity: rules:0.194; Self-direction: action:0.068; Universalism: concern:0.016; Power: dominance:0.012; Stimulation:0.003,Hedonism:-0.000; Humility:-0.000; Security: personal:-0.000; Face:-0.000; Achievement:-0.000,,,,
row034_claim06,4,정의당,16:03,그 아 중앙정부 이제 이 역시 특별법이 영재학교 특목고 외국 교육기관의 특례를 넓게 열어두고 두고도 교육 격차를 막겠다는 사후 관리 조항만,"Ah, the central government now, this too, even though the special law broadly leaves open exemptions for gifted schools, special-purpose high schools, and foreign educational institutions, it only has ex post management provisions that say it will prevent educational gaps.",,,0.0,Universalism: concern:0.044; Conformity: rules:0.007; Security: societal:0.007; Power: dominance:0.002; Stimulation:0.001,Universalism: nature:-0.000; Hedonism:-0.000; Humility:-0.000; Security: personal:-0.000; Tradition:-0.000,,,,
row061_claim01,4,민주당,29:43,예 혁신도시를 계획하면서 거기에 도시 계획의 문제로 인한 공실의 문제와 혁신도시가 갖고 있는 순장점을 어 너무 등치시키는 것은 저 말이 안 된다고 생각합니다.,"Yes, while planning the innovation city, I think it does not make sense to equate too closely the problem of vacancies caused by issues in urban planning with the pure advantages that an innovation city has.",,,0.0,Self-direction: thought:0.059; Stimulation:0.040; Security: societal:0.029; Power: resources:0.010; Universalism: concern:0.009,Conformity: rules:-0.000; Security: personal:-0.000; Tradition:-0.000; Hedonism:-0.000; Benevolence: caring:-0.000,,,,
