sample_id,language,expected_primary,expected_direction,text,model,label_space,expected_model_label,expected_score,top_label,top_score,top3,score_security,score_power,score_achievement,score_hedonism,score_stimulation,score_self-direction,score_universalism,score_benevolence,score_conformity,score_tradition,score_care_virtue,score_care_vice,score_fairness_virtue,score_fairness_vice,score_loyalty_virtue,score_loyalty_vice,score_authority_virtue,score_authority_vice,score_sanctity_virtue,score_sanctity_vice,score_Self-direction: thought,score_Self-direction: action,score_Stimulation,score_Hedonism,score_Achievement,score_Power: dominance,score_Power: resources,score_Face,score_Security: personal,score_Security: societal,score_Tradition,score_Conformity: rules,score_Conformity: interpersonal,score_Humility,score_Benevolence: caring,score_Benevolence: dependability,score_Universalism: concern,score_Universalism: nature,score_Universalism: tolerance
anti_security,ko,SECURITY,oppose,보호 장치를 없애서 더 빨리 출시할 수 있다면 개인정보와 안전 우려는 무시해야 합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,security,0.024271391332149506,universalism,0.4928915798664093,"universalism:0.493, benevolence:0.135, self-direction:0.123",0.024271391332149506,0.0019693973008543253,0.001450380077585578,0.0003195902972947806,0.0017296784790232778,0.12347722053527832,0.4928915798664093,0.1346251368522644,0.07602431625127792,0.0018868597690016031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_benevolence,en,BENEVOLENCE,oppose,The vulnerable families should handle the disruption themselves; helping them would only slow the project.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,benevolence,0.9860087037086487,security,0.9958819150924683,"security:0.996, benevolence:0.986, universalism:0.306",0.9958819150924683,0.014275612309575081,0.11446568369865417,0.00011090119369328022,0.00045939156552776694,0.015804270282387733,0.3059385418891907,0.9860087037086487,0.0037088985554873943,0.0004344942281022668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_benevolence,ko,BENEVOLENCE,oppose,"취약한 가족들은 혼란을 스스로 감당해야 하며, 그들을 돕는 것은 프로젝트를 늦출 뿐입니다.",devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,benevolence,0.2207937389612198,self-direction,0.5084698796272278,"self-direction:0.508, universalism:0.389, benevolence:0.221",0.01646212860941887,0.005309059284627438,0.0038311893586069345,0.0017897860379889607,0.0012661585351452231,0.5084698796272278,0.38869360089302063,0.2207937389612198,0.06951528787612915,0.0021069468930363655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_tradition,en,TRADITION,oppose,Old rituals and inherited customs should not influence this decision at all.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,tradition,0.9986487030982971,tradition,0.9986487030982971,"tradition:0.999, conformity:0.815, self-direction:0.428",0.007986105978488922,0.001764035550877452,0.004579103551805019,8.931424235925078e-05,0.0034573953598737717,0.42832449078559875,0.34485870599746704,0.00935888197273016,0.815456211566925,0.9986487030982971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_tradition,ko,TRADITION,oppose,오래된 의례와 물려받은 관습은 이번 결정에 전혀 영향을 주어서는 안 됩니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,tradition,0.0020621849689632654,universalism,0.3129006624221802,"universalism:0.313, self-direction:0.166, benevolence:0.157",0.017404353246092796,0.0035799897741526365,0.007358573377132416,0.001696936902590096,0.003735627979040146,0.1655290126800537,0.3129006624221802,0.15734967589378357,0.07751734554767609,0.0020621849689632654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_conformity,en,CONFORMITY,oppose,People should break the agreed rules whenever the rules make negotiation inconvenient.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,conformity,0.9957624077796936,conformity,0.9957624077796936,"conformity:0.996, security:0.857, universalism:0.853",0.8571307063102722,0.002013553399592638,0.001125831506215036,0.000194338004803285,0.00038989889435470104,0.0006851393263787031,0.8533811569213867,0.2771918773651123,0.9957624077796936,0.0028813425451517105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_conformity,ko,CONFORMITY,oppose,합의된 규칙이 협상을 불편하게 만들 때마다 사람들은 그 규칙을 깨도 됩니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,conformity,0.2035083770751953,universalism,0.39952898025512695,"universalism:0.400, benevolence:0.310, conformity:0.204",0.016926463693380356,0.005453372374176979,0.006924008950591087,0.0027684923261404037,0.005195628851652145,0.17810800671577454,0.39952898025512695,0.31034594774246216,0.2035083770751953,0.00225294241681695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral_schedule,en,NONE,neutral,The meeting starts at three o'clock and the agenda has four items.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,,,universalism,0.340366929769516,"universalism:0.340, self-direction:0.203, security:0.099",0.09928785264492035,0.002555395709350705,0.0018147105583921075,0.0003167891700286418,0.0020387182012200356,0.2028520256280899,0.340366929769516,0.00796620361506939,0.006107216235250235,0.0005408793222159147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral_schedule,ko,NONE,neutral,회의는 세 시에 시작하고 안건은 네 가지입니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,,,conformity,0.427602082490921,"conformity:0.428, universalism:0.276, self-direction:0.233",0.01580502837896347,0.007188334129750729,0.008287505246698856,0.0013819942250847816,0.0012555603170767426,0.23341801762580872,0.2761994004249573,0.14610788226127625,0.427602082490921,0.0010251631028950214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benevolence,en,BENEVOLENCE,support,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone.",MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.9897422790527344,"authority_virtue:0.990, care_virtue:0.989, care_vice:0.985",,,,,,,,,,,0.9893848299980164,0.9849668145179749,0.006060448009520769,0.008615327998995781,0.0111427316442132,0.009272397495806217,0.9897422790527344,0.012410341762006283,0.011705712415277958,0.02146989479660988,,,,,,,,,,,,,,,,,,,
benevolence,ko,BENEVOLENCE,support,이번 예산에서는 가장 큰 피해를 입을 주민들을 먼저 보호하고 누구도 혼자 남겨지지 않게 해야 합니다.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.0070620994083583355,"authority_virtue:0.007, sanctity_virtue:0.004, sanctity_vice:0.004",,,,,,,,,,,0.0011079731630161405,0.0022525577805936337,0.0007546954439021647,0.0013780684676021338,0.0034771827049553394,0.0013260210398584604,0.0070620994083583355,0.0009895844850689173,0.004265327472239733,0.004011824727058411,,,,,,,,,,,,,,,,,,,
universalism,en,UNIVERSALISM,support,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share.",MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,care_virtue,0.9936867356300354,"care_virtue:0.994, sanctity_virtue:0.990, fairness_virtue:0.986",,,,,,,,,,,0.9936867356300354,0.014871533028781414,0.9860870242118835,0.03691738843917847,0.009153913706541061,0.03878805786371231,0.9735817313194275,0.0510430783033371,0.9896357655525208,0.11975642293691635,,,,,,,,,,,,,,,,,,,
universalism,ko,UNIVERSALISM,support,"이 정책은 이주민, 장애 시민, 지역 주민을 동등한 존엄성으로 대하고 모두가 공유하는 환경을 보호해야 합니다.",MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.00766702089458704,"authority_virtue:0.008, sanctity_virtue:0.004, sanctity_vice:0.004",,,,,,,,,,,0.0011011105962097645,0.0019127896521240473,0.0008333343430422246,0.0013748705387115479,0.0034087542444467545,0.001174239907413721,0.00766702089458704,0.0008643969194963574,0.004138744901865721,0.003519912716001272,,,,,,,,,,,,,,,,,,,
self_direction,en,SELF-DIRECTION,support,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.002687103347852826,"authority_virtue:0.003, loyalty_virtue:0.002, sanctity_vice:0.001",,,,,,,,,,,0.0006856007967144251,0.0004920829087495804,0.0003646642726380378,0.0004479920316953212,0.0016786674968898296,0.00017975817900151014,0.002687103347852826,0.0001669681805651635,0.0010439740726724267,0.0014157149707898498,,,,,,,,,,,,,,,,,,,
self_direction,ko,SELF-DIRECTION,support,각 동네가 하나의 중앙 계획을 강요받기보다 스스로 해법을 설계할 수 있어야 합니다.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.005446203052997589,"authority_virtue:0.005, loyalty_virtue:0.004, sanctity_virtue:0.003",,,,,,,,,,,0.0009199984488077462,0.001945482799783349,0.0006917520659044385,0.0010636496590450406,0.003618553513661027,0.0008782394579611719,0.005446203052997589,0.0005731338169425726,0.003032366745173931,0.0026309469249099493,,,,,,,,,,,,,,,,,,,
stimulation,en,STIMULATION,support,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.0026567967142909765,"authority_virtue:0.003, loyalty_virtue:0.002, sanctity_vice:0.001",,,,,,,,,,,0.0006564566283486784,0.00047083402751013637,0.00037111080018803477,0.0004523363313637674,0.0016691405326128006,0.00017877192294690758,0.0026567967142909765,0.00016789574874565005,0.0010567663703113794,0.0014283484779298306,,,,,,,,,,,,,,,,,,,
stimulation,ko,STIMULATION,support,현재 절차는 너무 예측 가능해서 새로운 기회를 드러내지 못하니 과감한 시범 사업을 실험해야 합니다.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.00616998877376318,"authority_virtue:0.006, sanctity_virtue:0.005, sanctity_vice:0.004",,,,,,,,,,,0.0011352148139849305,0.0024581369943916798,0.0007391240797005594,0.0013318544952198863,0.003499297657981515,0.0013412097468972206,0.00616998877376318,0.000983421690762043,0.00451549282297492,0.004301535896956921,,,,,,,,,,,,,,,,,,,
hedonism,en,HEDONISM,support,"The public space should also be enjoyable, with music, food, and places where people can relax after work.",MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,sanctity_virtue,0.9912541508674622,"sanctity_virtue:0.991, authority_virtue:0.012, sanctity_vice:0.006",,,,,,,,,,,0.0027260142378509045,0.003956696018576622,0.002838134067133069,0.0020556002855300903,0.006312706973403692,0.0018335642525926232,0.012383027002215385,0.0014826200203970075,0.9912541508674622,0.006480982527136803,,,,,,,,,,,,,,,,,,,
hedonism,ko,HEDONISM,support,공공 공간은 퇴근 후 사람들이 쉬고 음악과 음식을 즐길 수 있는 즐거운 장소이기도 해야 합니다.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.006398089230060577,"authority_virtue:0.006, sanctity_virtue:0.004, sanctity_vice:0.004",,,,,,,,,,,0.0011000842787325382,0.0026223149616271257,0.0006963182240724564,0.001162397675216198,0.003251571673899889,0.0012424883898347616,0.006398089230060577,0.0009405136806890368,0.004295462276786566,0.00425975164398551,,,,,,,,,,,,,,,,,,,
achievement,en,ACHIEVEMENT,support,The project should set measurable targets and reward the teams that deliver the strongest results.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.002669974695891142,"authority_virtue:0.003, loyalty_virtue:0.002, sanctity_vice:0.001",,,,,,,,,,,0.0006510668317787349,0.0004650485934689641,0.0003730247262865305,0.00045375499757938087,0.001674820319749415,0.00017902711988426745,0.002669974695891142,0.00016815945855341852,0.0010611184407025576,0.0014334501465782523,,,,,,,,,,,,,,,,,,,
achievement,ko,ACHIEVEMENT,support,이 프로젝트는 측정 가능한 목표를 세우고 가장 뛰어난 성과를 내는 팀에 보상해야 합니다.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.006722709164023399,"authority_virtue:0.007, sanctity_virtue:0.004, sanctity_vice:0.004",,,,,,,,,,,0.0011096145026385784,0.0021883982699364424,0.0007693538791500032,0.0012846286408603191,0.003655399661511183,0.0012391501804813743,0.006722709164023399,0.0009444206370972097,0.0041801948100328445,0.003936214838176966,,,,,,,,,,,,,,,,,,,
power,en,POWER,support,The city needs clear authority over the process so it can control resources and enforce the final decision.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.9891356229782104,"authority_virtue:0.989, sanctity_vice:0.003, sanctity_virtue:0.003",,,,,,,,,,,0.0015976553549990058,0.0008180731674656272,0.0013288852060213685,0.0008692129631526768,0.0024791934993118048,0.0006164279184304178,0.9891356229782104,0.0008505997247993946,0.0028001093305647373,0.003257220610976219,,,,,,,,,,,,,,,,,,,
power,ko,POWER,support,시는 자원을 통제하고 최종 결정을 집행할 수 있도록 절차에 대한 분명한 권한을 가져야 합니다.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.007008691783994436,"authority_virtue:0.007, sanctity_virtue:0.004, sanctity_vice:0.004",,,,,,,,,,,0.001118038664571941,0.002146829618141055,0.0007836318109184504,0.001307475147768855,0.003442054847255349,0.001165366149507463,0.007008691783994436,0.0008514933870173991,0.004073308780789375,0.0035759960301220417,,,,,,,,,,,,,,,,,,,
security,en,SECURITY,support,"Before expanding the service, we need strict safeguards so families know their data and safety are protected.",MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,loyalty_virtue,0.9863538146018982,"loyalty_virtue:0.986, care_virtue:0.984, authority_virtue:0.983",,,,,,,,,,,0.9841135144233704,0.004787357058376074,0.006358353886753321,0.004012663383036852,0.9863538146018982,0.003842149628326297,0.9831876158714294,0.005023606587201357,0.014703406020998955,0.004149474203586578,,,,,,,,,,,,,,,,,,,
security,ko,SECURITY,support,서비스를 확대하기 전에 가족들이 자신의 데이터와 안전이 보호된다고 알 수 있도록 엄격한 보호 장치가 필요합니다.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.007141497451812029,"authority_virtue:0.007, sanctity_virtue:0.004, sanctity_vice:0.004",,,,,,,,,,,0.0010784247424453497,0.0019788662903010845,0.0007839592872187495,0.0013134197797626257,0.0032283130567520857,0.0011226603528484702,0.007141497451812029,0.0008993898518383503,0.0038522551767528057,0.003774828976020217,,,,,,,,,,,,,,,,,,,
conformity,en,CONFORMITY,support,"Participants should follow the agreed rules even when they disagree, otherwise the process will lose legitimacy.",MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.033996012061834335,"authority_virtue:0.034, loyalty_virtue:0.005, sanctity_virtue:0.004",,,,,,,,,,,0.0012605175143107772,0.0006114766583777964,0.001286391168832779,0.0014110147021710873,0.005375707987695932,0.0010660040425136685,0.033996012061834335,0.0012075238628312945,0.0035925644915550947,0.0022398950532078743,,,,,,,,,,,,,,,,,,,
conformity,ko,CONFORMITY,support,"참여자들은 동의하지 않더라도 합의된 규칙을 따라야 하며, 그렇지 않으면 절차의 정당성이 무너집니다.",MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.006531113293021917,"authority_virtue:0.007, sanctity_virtue:0.004, sanctity_vice:0.004",,,,,,,,,,,0.0010768165811896324,0.001939179259352386,0.000800045148935169,0.001355437096208334,0.003318386385217309,0.0011544483713805676,0.006531113293021917,0.0008607698255218565,0.004034366458654404,0.0035641647409647703,,,,,,,,,,,,,,,,,,,
tradition,en,TRADITION,support,The redevelopment should preserve the old market rituals and respect the practices that elders kept alive.,MMADS/MoralFoundationsClassifier,moral_foundations_10_multilabel,,,authority_virtue,0.9877619743347168,"authority_virtue:0.988, sanctity_vice:0.003, sanctity_virtue:0.003",,,,,,,,,,,0.0013634688220918179,0.0007236127858050168,0.0013980329968035221,0.0008959297556430101,0.0024752814788371325,0.0006204243982210755,0.9877619743347168,0.0008634798577986658,0.0029956132639199495,0.0030032803770154715,,,,,,,,,,,,,,,,,,,
